time,open,high,low,close,tick_volume,spread,real_volume
2025-01-07 10:00:00,2640.44,2644.77,2640.1,2642.47,3405,10,0
2025-01-07 11:00:00,2641.59,2642.2,2641.14,2641.3,286,13,0
2025-01-07 12:00:00,2641.32,2644.78,2641.32,2643.86,2833,12,0
2025-01-07 13:00:00,2643.96,2648.72,2642.02,2648.46,3251,8,0
2025-01-07 14:00:00,2648.5,2652.68,2647.41,2651.58,3502,5,0
2025-01-07 15:00:00,2651.38,2664.33,2650.01,2662.45,5647,5,0
2025-01-07 16:00:00,2662.53,2663.02,2655.82,2658.04,5442,9,0
2025-01-07 17:00:00,2653.59,2654.54,2642.22,2647.75,6313,5,0
2025-01-07 18:00:00,2647.65,2655.57,2646.55,2651.68,5263,5,0
2025-01-07 19:00:00,2651.73,2655.96,2650.18,2652.32,4530,5,0
2025-01-07 20:00:00,2652.38,2652.42,2647.26,2649.04,4417,5,0
2025-01-07 21:00:00,2649.1,2650.34,2646.95,2649.38,4063,5,0
2025-01-07 22:00:00,2649.22,2651.45,2647.17,2650.25,3750,8,0
2025-01-07 23:00:00,2649.88,2650.39,2647.46,2648.42,975,13,0
2025-01-08 01:00:00,2648.45,2650.18,2647.49,2649.79,1021,6,0
2025-01-08 02:00:00,2649.69,2651.52,2648.72,2650.54,1763,14,0
2025-01-08 03:00:00,2650.56,2650.77,2647.16,2648.74,3892,8,0
2025-01-08 04:00:00,2648.85,2650.43,2645.92,2648.95,2930,12,0
2025-01-08 05:00:00,2648.77,2648.9,2645.54,2646.81,2417,11,0
2025-01-08 06:00:00,2646.71,2648.67,2645.25,2647.0,2071,14,0
2025-01-08 07:00:00,2647.02,2650.74,2646.7,2650.09,2929,10,0
2025-01-08 08:00:00,2650.06,2653.0,2648.93,2652.04,3478,6,0
2025-01-08 09:00:00,2652.02,2654.41,2651.6,2652.63,3126,15,0
2025-01-08 10:00:00,2652.44,2653.81,2649.6,2651.96,4025,10,0
2025-01-08 11:00:00,2651.93,2654.98,2651.82,2653.47,3254,14,0
2025-01-08 12:00:00,2653.49,2655.13,2652.7,2653.15,2708,12,0
2025-01-08 13:00:00,2653.16,2653.16,2647.55,2650.62,3925,11,0
2025-01-08 14:00:00,2650.75,2652.48,2645.87,2651.92,4274,5,0
2025-01-08 15:00:00,2652.02,2660.23,2651.72,2660.23,5466,7,0
2025-01-08 16:00:00,2660.2,2667.59,2660.1,2661.35,5622,5,0
2025-01-08 17:00:00,2661.13,2667.77,2659.33,2665.9,5295,5,0
2025-01-08 18:00:00,2665.89,2670.0,2662.66,2669.61,4499,8,0
2025-01-08 19:00:00,2669.62,2669.83,2649.52,2655.55,4536,5,0
2025-01-08 20:00:00,2655.51,2659.02,2651.52,2652.7,4382,5,0
2025-01-08 21:00:00,2652.82,2660.58,2652.21,2658.3,4110,5,0
2025-01-08 22:00:00,2658.41,2664.06,2658.13,2663.4,3288,5,0
2025-01-08 23:00:00,2663.5,2664.03,2660.78,2661.44,1593,5,0
2025-01-09 01:00:00,2661.31,2663.24,2661.2,2662.58,934,11,0
2025-01-09 02:00:00,2662.59,2662.84,2659.41,2659.96,1538,5,0
2025-01-09 03:00:00,2659.81,2661.33,2657.23,2658.61,3387,14,0
2025-01-09 04:00:00,2658.51,2660.19,2656.19,2658.72,2609,7,0
2025-01-09 05:00:00,2658.78,2662.19,2658.45,2659.39,2384,8,0
2025-01-09 06:00:00,2659.32,2659.77,2655.51,2658.93,2006,5,0
2025-01-09 07:00:00,2658.78,2660.9,2657.64,2658.27,2517,13,0
2025-01-09 08:00:00,2658.28,2666.96,2658.27,2666.74,2941,5,0
2025-01-09 09:00:00,2666.73,2666.74,2662.39,2662.47,2912,9,0
2025-01-09 10:00:00,2662.3,2666.91,2660.46,2664.3,4084,11,0
2025-01-09 11:00:00,2664.36,2666.37,2662.28,2664.89,3066,5,0
2025-01-09 12:00:00,2664.88,2668.59,2664.38,2667.51,2756,10,0
2025-01-09 13:00:00,2667.5,2673.22,2665.24,2670.12,3317,10,0
2025-01-09 14:00:00,2670.06,2675.2,2669.28,2674.04,3138,5,0
2025-01-09 15:00:00,2674.04,2678.23,2671.95,2672.64,4893,5,0
2025-01-09 16:00:00,2672.55,2675.62,2666.98,2672.46,4433,12,0
2025-01-09 17:00:00,2672.46,2675.37,2668.12,2668.32,4126,9,0
2025-01-09 18:00:00,2668.31,2670.96,2665.98,2667.52,3459,14,0
2025-01-09 19:00:00,2667.51,2668.65,2662.65,2665.94,3706,5,0
2025-01-09 20:00:00,2665.89,2672.42,2664.93,2671.34,3188,5,0
2025-01-09 21:00:00,2671.43,2671.66,2668.57,2669.99,3073,5,0
2025-01-09 22:00:00,2670.11,2670.76,2669.13,2669.38,2245,12,0
2025-01-09 23:00:00,2669.36,2671.14,2668.24,2670.34,783,5,0
2025-01-10 01:00:00,2670.34,2671.27,2668.44,2669.8,1235,9,0
2025-01-10 02:00:00,2669.8,2670.95,2668.98,2670.41,2079,12,0
2025-01-10 03:00:00,2670.51,2671.78,2669.16,2670.96,3206,11,0
2025-01-10 04:00:00,2670.96,2674.71,2670.18,2673.52,3053,14,0
2025-01-10 05:00:00,2673.53,2674.75,2672.54,2673.64,2214,11,0
